shot,status,reason,n_samples,n_windows,duration_ms,k_in_mean,k_in_std,k_in_max,k_in_min,n_events,event_severity_max,B_mean,S_mean,R_mean,D_mean,I_mean
84400,ok,60ch_prm,1170227,18,18.515,0.283359,0.115323,0.432549,0.0,1,22.438554120085367,0.674389,0.884333,0.758225,0.009276,0.437051
84412,ok,7ch_prm,18154855,3499,3499.228,0.136756,0.10019,0.309464,0.0,182,1459.8951452618096,0.324516,0.714238,0.410799,0.001292,0.619256
84413,ok,7ch_prm,18133347,3533,3533.42,0.137228,0.105288,0.286549,0.0,33,2861.9315992098764,0.304419,0.574269,0.355535,0.001101,0.652714
84431,ok,80ch_prm,3530563,52,52.12,0.215219,0.097251,0.406793,0.0,2,28.83389089248969,0.319632,0.047059,0.46677,0.027118,0.543934
84435,ok,80ch_prm,3538650,52,52.17,0.221473,0.087254,0.417364,0.0,2,28.800242620505824,0.344438,0.050667,0.418254,0.026869,0.592223
84440,ok,32ch_prm,1042103,41,41.351,0.238189,0.128954,0.545332,0.0,1,110.94584765100493,0.444124,0.5975,0.599387,0.017347,0.445704
84447,ok,80ch_prm,3545039,52,52.383,0.217071,0.089787,0.404109,0.0,2,28.56800656328684,0.314981,0.0488,0.442244,0.027295,0.56874
84456,ok,80ch_prm,3568381,52,52.793,0.268812,0.116866,0.502992,0.0,2,32.848644888335954,0.357489,0.257537,0.446423,0.02667,0.568008
84457,ok,48ch_prm,2324834,98,98.15,0.257378,0.083315,0.414418,0.101305,2,3477.640146694307,0.565155,0.776558,0.631142,0.005912,0.441193
84459,ok,108ch_prm,3522914,20,20.784,0.268568,0.11027,0.462589,0.0,1,508.15638104819664,0.539879,0.833274,0.625194,0.00626,0.467361
84464,ok,7ch_prm,15507994,4332,4332.066,0.108206,0.088306,0.237231,0.0,7,2590.764953089917,0.300702,0.714286,0.446412,0.000528,0.664286
84478,ok,80ch_prm,3454447,49,49.269,0.187347,0.056147,0.29633,0.035945,4,88.48005917154441,0.583229,0.704149,0.532958,0.001796,0.546765
84488,ok,80ch_prm,3310415,46,46.63,0.21633,0.090622,0.479564,0.0,1,11.801413305193577,0.300841,0.713185,0.411557,0.005186,0.618917
84496,ok,7ch_prm,22634257,3193,3193.567,0.137346,0.085831,0.27883,0.041277,5,2169.588656773214,0.324588,0.579997,0.375771,0.000803,0.641634
84533,ok,32ch_prm,1036045,43,43.936,0.169886,0.07734,0.295748,0.0,2,14.477864345268609,0.426639,0.554718,0.496477,0.002392,0.570404
84535,ok,39ch_prm,1150043,118,118.78,0.142551,0.079403,0.35972,0.0,3,15.327745267977283,0.251129,0.465529,0.360561,0.002122,0.650203
84537,ok,7ch_prm,95968,23,23.907,0.045239,0.034523,0.097427,1.1e-05,0,0.0,0.006506,0.203148,0.241167,0.001412,0.758835
84539,ok,14ch_prm,186199,20,20.367,0.067373,0.040614,0.115594,1.1e-05,0,0.0,0.01167,0.20122,0.243237,0.002838,0.756769
84540,ok,80ch_prm,3344843,47,47.683,0.192999,0.064005,0.329592,0.053983,2,23.32083272526948,0.381563,0.643956,0.426053,0.002037,0.60255
84541,ok,7ch_prm,91804,17,17.51,0.064151,0.038086,0.119502,1.1e-05,0,0.0,0.008219,0.332203,0.241732,0.002425,0.758271
84546,ok,90ch_prm,3364157,10,8.764,0.16078,0.073866,0.358391,0.003546,0,0.0,0.217372,0.445085,0.358573,0.001859,0.64982
84547,ok,5ch_prm,42067,10,8.863,0.052633,0.015304,0.075067,0.028091,0,0.0,0.008572,0.013998,0.242089,0.002822,0.757913
84580,ok,7ch_prm,21841874,3147,3147.545,0.121924,0.070169,0.236403,0.029821,6,3993.5380317176146,0.326001,0.717141,0.425185,0.000395,0.635052
